,original_title,runtime,vote_average,release_year,genre
124,Paranormal Activity: The Ghost Dimension,88,5.0,2015,Thriller
125,Slow West,84,6.6,2015,Romance
125,Slow West,84,6.6,2015,Thriller
125,Slow West,84,6.6,2015,Western
126,Trumbo,124,7.2,2015,Drama
127,Secret in Their Eyes,111,6.2,2015,Crime
127,Secret in Their Eyes,111,6.2,2015,Drama
127,Secret in Their Eyes,111,6.2,2015,Mystery
128,Mistress America,84,6.4,2015,Comedy
129,The SpongeBob Movie: Sponge Out of Water,93,5.7,2015,Family
129,The SpongeBob Movie: Sponge Out of Water,93,5.7,2015,Animation
130,True Story,100,6.0,2015,Crime
130,True Story,100,6.0,2015,Drama
130,True Story,100,6.0,2015,Mystery
131,Max,111,7.0,2015,Adventure
131,Max,111,7.0,2015,Drama
131,Max,111,7.0,2015,Family
132,Shaun the Sheep Movie,85,6.9,2015,Family
132,Shaun the Sheep Movie,85,6.9,2015,Animation
132,Shaun the Sheep Movie,85,6.9,2015,Comedy
132,Shaun the Sheep Movie,85,6.9,2015,Adventure
133,Louder Than Bombs,109,6.3,2015,Drama
134,A Perfect Day,106,6.3,2015,Comedy
134,A Perfect Day,106,6.3,2015,Drama
135,The Gunman,115,5.6,2015,Action
135,The Gunman,115,5.6,2015,Drama
135,The Gunman,115,5.6,2015,Crime
136,Unfriended,82,5.6,2015,Horror
136,Unfriended,82,5.6,2015,Thriller
137,Hot Pursuit,87,5.5,2015,Action
137,Hot Pursuit,87,5.5,2015,Crime
137,Hot Pursuit,87,5.5,2015,Comedy
138,Insidious: Chapter 3,97,6.3,2015,Drama
138,Insidious: Chapter 3,97,6.3,2015,Horror
138,Insidious: Chapter 3,97,6.3,2015,Thriller
139,Z for Zachariah,97,5.5,2015,Drama
139,Z for Zachariah,97,5.5,2015,Science Fiction
139,Z for Zachariah,97,5.5,2015,Thriller
140,Dragonheart 3: The Sorcerer's Curse,97,4.5,2015,Action
140,Dragonheart 3: The Sorcerer's Curse,97,4.5,2015,Adventure
140,Dragonheart 3: The Sorcerer's Curse,97,4.5,2015,Fantasy
141,The Lady in the Van,104,5.9,2015,Comedy
141,The Lady in the Van,104,5.9,2015,Drama
142,Victor Frankenstein,109,5.5,2015,Drama
142,Victor Frankenstein,109,5.5,2015,Science Fiction
142,Victor Frankenstein,109,5.5,2015,Thriller
143,Brothers of the Wind,98,7.5,2015,Adventure
143,Brothers of the Wind,98,7.5,2015,Drama
143,Brothers of the Wind,98,7.5,2015,Family
144,Anomalisa,90,6.7,2015,Animation
144,Anomalisa,90,6.7,2015,Comedy
144,Anomalisa,90,6.7,2015,Drama
144,Anomalisa,90,6.7,2015,Romance
145,Bone Tomahawk,132,6.3,2015,Horror
145,Bone Tomahawk,132,6.3,2015,Western
145,Bone Tomahawk,132,6.3,2015,Adventure
145,Bone Tomahawk,132,6.3,2015,Drama
146,Regression,106,5.2,2015,Horror
146,Regression,106,5.2,2015,Mystery
146,Regression,106,5.2,2015,Thriller
147,Pawn Sacrifice,114,6.6,2015,Drama
148,The Man Who Knew Infinity,108,7.1,2015,Drama
149,Momentum,96,5.8,2015,Thriller
149,Momentum,96,5.8,2015,Action
150,The Diary of a Teenage Girl,102,6.8,2015,Drama
150,The Diary of a Teenage Girl,102,6.8,2015,Romance
151,Pay the Ghost,94,5.3,2015,Horror
151,Pay the Ghost,94,5.3,2015,Thriller
152,The Voices,101,6.0,2015,Horror
152,The Voices,101,6.0,2015,Thriller
152,The Voices,101,6.0,2015,Comedy
152,The Voices,101,6.0,2015,Crime
153,Last Knights,115,6.3,2015,Action
153,Last Knights,115,6.3,2015,Adventure
154,Il racconto dei racconti,125,5.7,2015,Romance
154,Il racconto dei racconti,125,5.7,2015,Fantasy
154,Il racconto dei racconti,125,5.7,2015,Horror
155,Irrational Man,95,6.1,2015,Mystery
155,Irrational Man,95,6.1,2015,Drama
156,Queen of the Desert,128,6.0,2015,Drama
156,Queen of the Desert,128,6.0,2015,History
157,Ricki and the Flash,100,5.5,2015,Comedy
157,Ricki and the Flash,100,5.5,2015,Drama
157,Ricki and the Flash,100,5.5,2015,Music
158,Miss You Already,112,7.2,2015,Comedy
158,Miss You Already,112,7.2,2015,Drama
158,Miss You Already,112,7.2,2015,Romance
159,Kung Fury,31,7.7,2015,Action
159,Kung Fury,31,7.7,2015,Comedy
159,Kung Fury,31,7.7,2015,Science Fiction
159,Kung Fury,31,7.7,2015,Fantasy
160,The Perfect Guy,100,5.6,2015,Drama
160,The Perfect Guy,100,5.6,2015,Thriller
161,A Bigger Splash,120,5.8,2015,Crime
161,A Bigger Splash,120,5.8,2015,Drama
161,A Bigger Splash,120,5.8,2015,Mystery
161,A Bigger Splash,120,5.8,2015,Thriller
162,While We're Young,97,5.9,2015,Drama
162,While We're Young,97,5.9,2015,Comedy
163,Get Hard,100,5.9,2015,Comedy
164,Kidnapping Mr. Heineken,95,5.8,2015,Drama
164,Kidnapping Mr. Heineken,95,5.8,2015,Action
164,Kidnapping Mr. Heineken,95,5.8,2015,Crime
